start	end	text
0	29800	今天說一說
29800	32300	是我们在一起的第一千四十六天
32300	34600	日子没红裂但你把平凡一笔一划
34600	35700	写成了时间
35700	38000	也吵过 也冷过 也怀疑过
38000	39500	自己是不是走的太慢
39500	42900	可每次回头 你都在原地 没走散
42900	46400	我不太会说话 情绪常常先行
46400	49400	把不安藏得太深 偏偏被你看清
49400	52400	你说时间会正宁 不是逃避 是并肩
52400	56000	于是我学会低头 也学会把未来往前
56000	57900	那些夜晚的光很暗
57900	60300	你把我的慌乱一点点摊开
60300	62800	原来爱不是答案
62800	68900	是愿意一起 把问题走完
68900	72100	一千四十六天 不是数字是证据
72100	75600	春夏秋冬换了几次 你都在我身边
75600	78100	如果世界很大 路很远
78100	82600	我愿意把余生交给同一双眼
82600	85800	一千四十六天 从不完美到图定
85800	89200	你让我学会认真 学会把梦落地
89200	92200	不是思念多想了 是我决定
92200	96200	和你走完这一生的长度
96200	102600	你让我开始规划
102600	105600	不再只看明天 把未来写进日历
105600	107200	一夜一夜往前
107200	109400	原来成长不是一个人的修行
109400	111400	是有人在身旁
111400	112600	提醒你别后退
112600	114100	提醒你别后退
114100	115600	我有过犹豫 也有过软弱
115600	117600	你没走 你只是握紧我的手
117600	119100	你说慢一点也没关系
119100	121200	只要方向一致 时间会给我们勇气
121200	122600	如果有一天 时间很少
122600	124600	我愿意把你脸上掉地 听你的心跳
124600	126000	如果风雨来得太早
126000	127600	我唱在你身旁 不退不逃
127600	130200	一千四十六天 不是偶然
130200	133600	是每一次选择 都选了彼此一遍
133600	136200	但人海太宽 灯光太远
136200	140600	我愿意回头 只为你出现
140600	143600	一千四十六天 把不完写成答案
143600	147400	你补却了我所有不完整的片段
147400	149400	若未来有多长
149400	154400	我不问时间 我只问你在不在
154400	156400	所以今天我不是在回忆
156400	158200	我是决定和你继续
158200	159800	不管从哪一刻算起
159800	172600	我知道 这条路我只想和你一起
172600	179600	去咱就跟我一起
179600	198600	可以
198600	201360	吃
201360	231340	感谢观看
